Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
10-Dec-93,4,"Kremlëvskie zhëny: Fakty, vospominaniia, dokumenty, slukhi, legendy i vzgliad avtora","Vasil'eva, Larisa",Moscow,VAGRIUS,Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,5,Spravochnik po strelkovomu oruzhiiu,"Zhuk, A.B.",Moscow,Voenizdat,Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,6,Gomeopatiia,"Ger-Gardt, A. fon",Moscow,"Klyshnikov, Komarov, i Ko, Dvoinaia Zvezda",Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,7,Slovar' russkikh familii,"Nikonov, V.",Moscow,Shkola-Press,Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,8,Anglo-Russkii polnyi iurodicheskii slovar',not listed,Moscow,Sovetnik,Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,9,Rasti zdorovym,"Rotenberg, R.",Moscow,Fizkul'tura i sport,Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,10,Travnik dlia vsekh,"Ladynina, E.",Moscow,Mosgorpechat',Drugaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,1,Tvin piks,"Linch, Dzhennifer i Frost, Skott",Rostov-na-Donu,Germes and Vagrius,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,2,Greshniki: Gollivudskii zoopark,"Kollinz, D.",Moscow,"Korona-Print, Edition Q",Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,3,Shpion v dome liubvi,"Nin, Anais",Smolensk,BELKOM,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,4,Kazino,"Rei, P.",Moscow,Interdaidzest,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,5,Park iurskogo perioda,"Kraiton, M.",Moscow,VAGRIUS,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,6,Eretiki diuny,"Kherbert, F.",Moscow,TEKST-Skarabei,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,7,Konets sveta,"Sheldon, S.",Moscow,Novosti,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,8,Dolgaia doroga v diunakh,"Rudnev, O.",Moscow,Drofa,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
10-Dec-93,9,Lovushka dlia Greisi,"Uil'iams, K.",Moscow,Panorama,Khudozhestvennaia literatura,not listed,not listed,,,,,,,,,,,
