Date of List,Rank,Title,Author,Pub City,Publisher,Fict/Non/Int,Series,Hardback/paperback,,,,,,,,,,,
5-Sep-95,7,Razboinik dlia sibilly,"Khorton, N.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,7,Otsutstvie dokazatel'stv,"Kivinov, A.",Moscow,Lokid,Belletristika,Sovremennyi rossiiskii detektiv,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,8,Banda-3,"Pronin, V.",St. Petersburg,Folio-press,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,8,Rytsar' v potusknevshikh dospekhakh,"Meidzher, E.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,9,Kamikadze,"Oreshkin, V.",Moscow,Armada,Belletristika,Armada-detektiv,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,9,Kriminal'naia kollektsia,"Mironov, G.",Moscow,EKSMO,Belletristika,Russkii bestseller,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,10,Na vsiakii sluchai,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,10,Mechta,"Stil, D.",Moscow,Kron-Press,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,1,Iz sosuda svoego,"Malakhov, G., Malakhova, N.",Rostov-na-Donu,Feniks,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,1,Mikrovolnovaia kukhnia kazhdyi den',not listed,Moscow,Iauza,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,2,Tselebnye rasteniia vashei zvezdy,not listed,Moscow,Armada,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,2,Detka,"Ivanov, P.",Moscow,Bagira,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,3,Taina imeni-2,not listed,Khar'kov,Torsing,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,3,"Imia, kharakter, sud'ba",not listed,Moscow,Iauza,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,4,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",Moscow,TOPIKAL,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,4,Professiia — koldun,"Longo, Iu.",Moscow,Gramma,Prochaia literatura,Narodnye tseliteli,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,5,Kniga o pive,"Dovgan', V.",Smolensk,Rusich,Prochaia literatura,Azbuka byta,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,5,Lechebnoe pitanie pri zheludochno-kishechnykh zabolevaniiakh,"Gurvich, M.",Moscow,Kitap-press,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,6,"Entsiklopediia mladentsa: rozhdenie, ukhod, pitanie, razvitie, vospitanie","Shutt, K.",Moscow,"Shraik, persei",Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,6,Sozdanie sobstvennoi sistemy ozdorovleniia,"Malakhov, G.",St. Petersburg,Komplekt,Prochaia literatura,Tselitel'nye sily,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,7,Taina imeni,not listed,Khar'kov,Osnova,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,7,Sny i sud'by,not listed,Moscow,Zolotoi telenok,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,8,Pozvonochnik — kliuch k zdorov'iu,not listed,St. Petersburg,Leila,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,8,Tropinka k zdorov'iu,"Travinka, V.",St. Petersburg,Piter,Prochaia literatura,Istseli sebia sam,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,9,"200 koshach'ikh ""pochemu?""","Nepomniashchii, N.",Moscow,Vagrius,Prochaia literatura,"Biblioteka ""ptich'ego rynka""",v tverdom pereplete,,,,,,,,,,,
5-Sep-95,9,Slovar' zdorov'ia vangi,not listed,Moscow,Izd-vo standartov,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
5-Sep-95,10,Ulitsy moskvy,not listed,not listed,vypuski raznykh izdatel'stv,Prochaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
5-Sep-95,10,Videogid-3,"Ivanov, M., Sosul'kin, O.",Moscow,Informatika,Prochaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,1,Vsemirnoe pisanie,not listed,Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,2,Enneady,Plotin,Kiev,UTsIMM-Press,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,3,Sistema veshchei,"Bodriiiar, Zh.",Moscow,Rudomino,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,4,Tropik raka. tropik kozeroga. chernaia vesna,"Miller, G.",Moscow,"Russiko, red. gazety ""trud""","""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,5,Mabinogion,not listed,Moscow,Ladomir,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,6,O egipetskikh misteriiakh,Iamvlikh,Moscow,Kh.G.S.,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,7,Real'nost' nereal'nogo,"Nalimov, V., Drogalina, Zh.",Moscow,"Mir idei, akton","""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,8,Genial'nost' i pomeshatel'stvo,"Lombrozo, Ch.",Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,9,Vospominaniia o bloke,"Belyi, A.",Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,10,Istoriia novogo vremeni,"Vipper, R. i dr.",Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
12-Sep-95,1,Antikiller,"Koretskii, D.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,1,Versiia pro zapas,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,2,Plach palacha,"Grin'kov, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,2,Peshka v bol'shoi igre,"Koretskii, D.",St. Petersburg,ViS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,3,Sindikat killerov,"Neznanskii, F.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,3,Noch' golodnoi luny,"Silkin, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,4,"Oper po prozvishchu ""starik""","Koretskii, D.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,4,Populiarnye pesni i romansy,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,5,Nichto ne vechno,"Sheldon, S.","Moscow, Khar'kov","Novosti, grampus eit",Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,5,Liubimye pesni i romansy,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,6,Ledi killer,"Koul, M.",Moscow,Tsentrpoligraf,Belletristika,Mastera ostrosiuzhetnogo romana,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,6,Burnoe plavanie,"Uentvort, S.",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,7,Razboinik dlia sibilly,"Khorton, N.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,7,Zvezdnyi molot,"Rauli, K.",Moscow,Armada,Belletristika,Fantasticheskii boevik,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,8,Chto skazal pokoinik,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,8,Vozvrashchenie imperatora,"Koul, A., Banch, K.",Moscow,Armada,Belletristika,Fantasticheskii boevik,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,9,Devochka dlia shpiona,"Neznanskii, F.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,9,Rytsar' v potusknevshikh dospekhakh,"Meidzher, E.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,10,Shans poliubit',"Brauning, D.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,10,Otsutstvie dokazatel'stv,"Kivinov, A.",Moscow,Lokid,Belletristika,Sovremennyi rossiiskii detektiv,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,1,Iz sosuda svoego,"Malakhov, G., Malakhova, N.",Rostov-na-Donu,"Rostovskoe knizhnoe izdatel'stvo, feniks",Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,1,Mikrovolnovaia kukhnia kazhdyi den',not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,2,Vse o napitkakh,not listed,Moscow,Nugeshiinvest,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,2,"Imia, kharakter, sud'ba",not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,3,Taina imeni-2,not listed,Khar'kov,Torsing,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,3,Professiia — koldun,"Longo, Iu.",Moscow,Gramma,Inaia literatura,Narodnye tseliteli,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,4,Taina sna,not listed,Khar'kov,ShVN,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,4,Detka,"Ivanov, P.",Moscow,Bagira,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,5,Retsepty narodnoi meditsiny,"Siniakov, A.",Moscow,Fizkul'tura i sport,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,5,Diana: pravdivaia istoriia,"Morton, E.",Moscow,Fizkul'tura i sport,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,6,Ryby rossii,not listed,Moscow,Fizkul'tura i sport,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,6,Lechebnoe pitanie pri zheludochno-kishechnykh zabolevaniiakh,"Gurvich, M.",Moscow,Kitap-press,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,7,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",Moscow,TOPIKAL,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,7,Sozdanie sobstvennoi sistemy ozdorovleniia,"Malakhov, G.",St. Petersburg,Komplekt,Inaia literatura,Tselitel'nye sily,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,8,Ulitsy moskvy,not listed,not listed,vypuski raznykh izdatel'stv,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,8,Sny i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,9,"Entsiklopediia mladentsa: rozhdenie, ukhod, pitanie, razvitie, vospitanie","Shutt, K.",Moscow,"Shraik, persei",Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,9,Tropinka k zdorov'iu,"Travinka, V.",St. Petersburg,Piter,Inaia literatura,Istseli sebia sam,v miagkoi oblozhke,,,,,,,,,,,
12-Sep-95,10,Taina imeni,not listed,Khar'kov,Osnova,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
12-Sep-95,10,Slovar' zdorov'ia vangi,not listed,Moscow,Izd-vo standartov,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,1,Osleplenie,"Kanetti, E.",St. Petersburg,Severo-zapad,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,2,Izbrannye stat'i,"Gasparov, M.",Moscow,Novoe literaturnoe obozrenie,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,3,Izbrannye trudy,"Shchedrovitskii, G.",Moscow,Shk. kul't. polit.,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,4,Vsemirnoe pisanie,not listed,Moscow,Respublika,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,5,Enneady,Plotin,Kiev,UTsIMM-Press,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,6,Programmy politicheskikh partii rossii,not listed,Moscow,Rossiiskaia politicheskaia entsiklopediia,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,7,Kul'turologiia. XX vek,not listed,Moscow,Iurist,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,8,Dnevnik (1930—1969),"Chukovskii, K.",Moscow,Sovremennyi pisatel',"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
19-Sep-95,1,Antikiller,"Koretskii, D.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,1,Versiia pro zapas,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,2,Plach palacha,"Grin'kov, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,2,Peshka v bol'shoi igre,"Koretskii, D.",St. Petersburg,ViS,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,3,Sindikat killerov,"Neznanskii, F.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,3,Noch' golodnoi luny,"Silkin, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,4,"Oper po prozvishchu ""starik""","Koretskii, D.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,4,Populiarnye pesni i romansy,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,5,Devochka dlia shpiona,"Neznanskii, F.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,5,Liubimye pesni i romansy,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,6,Ledi killer,"Koul, M.",Moscow,Tsentrpoligraf,Belletristika,Mastera ostrosiuzhetnogo romana,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,6,Burnoe plavanie,"Uentvort, S.",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,7,Prevratnosti liubvi,"Fogg, E.",Moscow,"Red. Mezhd. zhurn. ""panorama""",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,7,Zvezdnyi molot,"Rauli, K.",Moscow,Armada,Belletristika,Fantasticheskii boevik,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,8,Repetitsiia braka,"Berri, Sh.",Moscow,"Red. Mezhd. zhurn. ""panorama""",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,8,Vozvrashchenie imperatora,"Koul, A., Banch, K.",Moscow,Armada,Belletristika,Fantasticheskii boevik,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,9,Nichto ne vechno,"Sheldon, S.","Moscow, Khar'kov","Novosti, grampus eit",Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,9,Rytsar' v potusknevshikh dospekhakh,"Meidzher, E.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,10,Shans poliubit',"Brauning, D.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,10,Spasitel'nyi svet,"Chemberlen, D.",Moscow,OLMA-Press,Belletristika,Zolotoi kupidon,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,1,Iz sosuda svoego,"Malakhov, G., Malakhova, N.",Rostov-na-Donu,"Rostovskoe knizhnoe izdatel'stvo, feniks",Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,1,Mikrovolnovaia kukhnia kazhdyi den',not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,2,Vse o napitkakh,not listed,Moscow,Nugeshiinvest,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,2,"Imia, kharakter, sud'ba",not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,3,Taina imeni-2,not listed,Khar'kov,Torsing,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,3,Professiia — koldun,"Longo, Iu.",Moscow,Gramma,Inaia literatura,Narodnye tseliteli,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,4,Taina sna,not listed,Khar'kov,ShVN,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,4,Detka,"Ivanov, P.",Moscow,Bagira,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,5,Retsepty narodnoi meditsiny,"Siniakov, A.",Moscow,Fizkul'tura i sport,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,5,IBM dlia pol'zovatelia,"Figurnov, V.",Moscow,Infra-m,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,6,Kniga o pive,"Dovgan', V.",Smolensk,Rusich,Inaia literatura,Azbuka byta,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,6,Lechebnoe pitanie pri zheludochno-kishechnykh zabolevaniiakh,"Gurvich, M.",Moscow,Kitap-press,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,7,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",Moscow,TOPIKAL,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,7,Sozdanie sobstvennoi sistemy ozdorovleniia,"Malakhov, G.",St. Petersburg,Komplekt,Inaia literatura,Tselitel'nye sily,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,8,Ulitsy moskvy,not listed,not listed,vypuski raznykh izdatel'stv,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,8,Sny i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,9,"Entsiklopediia mladentsa: rozhdenie, ukhod, pitanie, razvitie, vospitanie","Shutt, K.",Moscow,"Shraik, persei",Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,9,Tropinka k zdorov'iu,"Travinka, V.",St. Petersburg,Piter,Inaia literatura,Istseli sebia sam,v miagkoi oblozhke,,,,,,,,,,,
19-Sep-95,10,Kulinariia,not listed,Minsk,Aurika,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
19-Sep-95,10,Slovar' zdorov'ia vangi,not listed,Moscow,Izd-vo standartov,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,1,Sistema veshchei,"Bodriiiar, Zh.",Moscow,Rudomino,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,2,Kritika prakticheskogo razuma,"Kant, I.",St. Petersburg,Nauka,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,3,Patriarkh tikhon,"Vostryshev, M.",Moscow,Mol. gvardiia,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,4,Dukhovnyi put' pushkina,"Vasil'ev, B.",Moscow,Sam & sam,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,5,Istoriia filosofii: zapad — rossiia — vostok,not listed,Moscow,Greko-latinskii kabinet,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,6,Moskovskii nekropol',"Artamonov, M.",Moscow,Stolitsa,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,7,Reka vremen,not listed,Moscow,"Reka vremen, ellis lak","""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,8,Sochineniia,"Frantsisk Assizskii, Sv. ",Moscow,Izd-vo frantsiskantsev — brat'ev men'shikh konventual'nykh,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,9,Eros i tsivilizatsiia,"Markuze, G.",Kiev,ISA,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,10,Mysli,"Paskal', B.",Moscow,izd-vo im sabashnikovykh,"""Intellektual'nye"" bestsellery",,not listed,,,,,,,,,,,
26-Sep-95,1,Po chuzhomu stsenariiu,"Vysotskii, S.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,1,Versiia pro zapas,"Khmelevskaia, I.",Moscow,FANTOM PRESS INTER V.M.,Belletristika,Ironicheskii detektiv,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,2,Plach palacha,"Grin'kov, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,2,Raziashchii udar,"Koretskii, D.",Moscow,EKSMO,Belletristika,Chernaia koshka,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,3,Shans poliubit',"Brauning, D.",Moscow,Raduga,Belletristika,Iskushenie,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,3,Ubiitsa s krestom,"Montechino, M.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,4,Sindikat killerov,"Neznanskii, F.",Moscow,AST,Belletristika,Marsh turetskogo,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,4,Populiarnye pesni i romansy,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,5,"O vsekh sozdaniiakh, bol'shikh i malykh","Kherriot, D.",Moscow,Armada,Belletristika,Zelenaia seriia,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,5,V nashu gavan' zakhodili korabli,not listed,Moscow,"Omega, Denis Al'fa",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,6,Spasaia liubov',"Bennet, M.",Moscow,"Red. Mezhd. zhurn. ""panorama""",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,6,Volch'ia staia,"Cherrit, R.",Moscow,Armada,Belletristika,Boevye roboty,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,7,Nichto ne vechno,"Sheldon, S.","Moscow, Khar'kov","Novosti, grampus eit",Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,7,Noch' golodnoi luny,"Silkin, V.",Moscow,EKSMO,Belletristika,Russkii bestseller,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,8,Liubov' i dym,"Bleik, D.",Moscow,OLMA-Press,Belletristika,Zolotoi kupidon,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,8,Stavka na schast'e,"Pollard, K.",Moscow,"Red. Mezhd. zhurn. ""panorama""",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,9,Burnoe plavanie,"Uentvort, S.",Moscow,Raduga,Belletristika,Liubovnyi roman,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,9,Klan krecheta,"Torston, R.",Moscow,Armada,Belletristika,Boevye roboty,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,10,Repetitsiia braka,"Berri, Sh.",Moscow,"Red. Mezhd. zhurn. ""panorama""",Belletristika,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,10,Odnazhdy v amerike,"Grei, Kh.","Moscow, Riga",Poliaris,Belletristika,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,1,Iz sosuda svoego,"Malakhov, G., Malakhova, N.",Rostov-na-Donu,"Rostovskoe knizhnoe izdatel'stvo, feniks",Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,1,Mikrovolnovaia kukhnia kazhdyi den',not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,2,Vse o napitkakh,not listed,Moscow,Nugeshiinvest,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,2,"Imia, kharakter, sud'ba",not listed,Moscow,Iauza,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,3,Kak zavoevyvat' druzei i okazyvat' vliianie na liudei,"Karnegi, D.",Moscow,TOPIKAL,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,3,Professiia — koldun,"Longo, Iu.",Moscow,Gramma,Inaia literatura,Narodnye tseliteli,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,4,Taina imeni-2,not listed,Khar'kov,Torsing,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,4,Golovnye boli. kak oblegchit' stradaniia,not listed,Moscow,Kron-press,Inaia literatura,Bez vizita k vrachu,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,5,Domovodstvo,not listed,Moscow,Kolos,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,5,Avtomobil'naia moskva,not listed,Moscow,AVTO,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,6,Entsiklopediia rybolova,"Kazantsev, V., Varenov, V.",Moscow,Respublika,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,6,Sny i sud'by,not listed,Moscow,Zolotoi telenok,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
26-Sep-95,7,Gorbi i meggi,not listed,Liubertsy,PIK VINITI,Inaia literatura,not listed,v tverdom pereplete,,,,,,,,,,,
26-Sep-95,7,Detka,"Ivanov, P.",Moscow,Bagira,Inaia literatura,not listed,v miagkoi oblozhke,,,,,,,,,,,
